ingredients,label,score
"Aqua, Sodium Lauroyl Oat Amino Acids, Decyl Glucoside","surfactant",7
"Aqua, Disodium Laureth Sulfosuccinate, Coco-Betaine","surfactant",5
"Aqua, Sodium Lauroyl Glycinate, Coco-Glucoside","surfactant",6
"Aqua, Phenoxyethanol, Ethylhexylglycerin","preservative",7
"Aqua, Sodium Benzoate, Potassium Sorbate","preservative",6
"Aqua, Benzyl Alcohol, Dehydroacetic Acid","preservative",5
"Aqua, Phenoxyethanol, Caprylyl Glycol","preservative",7
"Aqua, Chlorphenesin, Phenoxyethanol","preservative",6
"Aqua, Methylparaben, Propylparaben","preservative",8
"Aqua, Phenoxyethanol, Sorbic Acid","preservative",7
"Aqua, Diazolidinyl Urea, Potassium Sorbate","preservative",6
"Aqua, DMDM Hydantoin, Sodium Citrate","preservative",6
"Aqua, Imidazolidinyl Urea, Phenoxyethanol","preservative",7
"Aqua, Glycerin, Sodium PCA, Panthenol, Centella Extract","safe",9
"Aqua, Hyaluronic Acid, Betaine, Allantoin","safe",10
"Aqua, Niacinamide, Panthenol, Trehalose","safe",9
"Aqua, Glycerin, Green Tea Extract, Panthenol","safe",9
"Aqua, Madecassoside, Glycerin, Sodium PCA","safe",8
"Aqua, Panthenol, Aloe Vera, Sodium Hyaluronate","safe",10
"Aqua, Oat Extract, Betaine, Glycerin","safe",9
"Aqua, Centella Extract, Panthenol, Allantoin","safe",9
"Aqua, Urea, Glycerin, Sodium PCA","safe",8
"Aqua, Glycerin, Trehalose, Panthenol","safe",9
"Aqua, Hyaluronic Acid, Panthenol, Green Tea Extract","safe",10
"Aqua, Bisabolol, Panthenol, Glycerin","safe",8
"Aqua, Glycerin, Aloe Extract, Betaine","safe",9
"Aqua, Marshmallow Root Extract, Panthenol","safe",9
"Aqua, Allantoin, Sodium PCA, Glycerin","safe",9
"Aqua, Niacinamide, Panthenol, Sodium Hyaluronate","safe",10
"Aqua, Sodium Hyaluronate, Oat Extract","safe",9
"Aqua, Glycerin, Betaine, Panthenol","safe",9
"Aqua, Green Tea Extract, Centella Extract","safe",10
"Aqua, Sodium PCA, Trehalose, Glycerin","safe",8
"Aqua, Aloe Vera, Urea, Betaine","safe",9
"Aqua, Panthenol, Allantoin, Madecassoside","safe",9
"Aqua, Glycerin, Sodium Hyaluronate, Oat Extract","safe",10
"Aqua, Trehalose, Panthenol, Aloe Extract","safe",9
"Aqua, Centella Extract, Bisabolol, Glycerin","safe",9
"Aqua, Betaine, Allantoin, Hyaluronic Acid","safe",10
"Aqua, Green Tea Extract, Marshmallow Extract","safe",9
"Aqua, Panthenol, Oat Extract, Sodium PCA","safe",8
"Aqua, Glycerin, Urea, Aloe Extract","safe",9
"Aqua, Trehalose, Sodium PCA, Niacinamide","safe",10
"Aqua, Dimethicone, Propanediol, Carbomer","neutral",6
"Aqua, Caprylic/Capric Triglyceride, Fragrance","neutral",5
"Aqua, Dimethicone, PEG-40 Hydrogenated Castor Oil","neutral",6
"Aqua, Butylene Glycol, Dimethicone","neutral",7
"Aqua, Carbomer, Propylene Glycol, Fragrance","neutral",5
"Aqua, Isododecane, Dimethicone, Phenoxyethanol","neutral",6
"Aqua, Propanediol, Carbomer, Dimethicone","neutral",6
"Aqua, PEG-20 Methyl Glucose Sesquistearate","neutral",7
"Aqua, Glycerin, Dimethicone, Triethanolamine","neutral",6
"Aqua, Ethylhexylglycerin, Dimethicone","neutral",6
"Aqua, Butylene Glycol, Carbomer, Dimethicone","neutral",7
"Aqua, Propanediol, PEG-6 Caprylic/Capric Glycerides","neutral",6
"Aqua, Fragrance, Dimethicone","neutral",5
"Aqua, Carbomer, Sodium Citrate, Dimethicone","neutral",6
"Aqua, Phenoxyethanol, Propylene Glycol","neutral",5
"Aqua, Betaine, Dimethicone","neutral",7
"Aqua, Dimethicone, Sorbitol, Phenoxyethanol","neutral",6
"Aqua, Sodium Citrate, Dimethicone","neutral",7
"Aqua, PEG-7 Glyceryl Cocoate, Dimethicone","neutral",6
"Aqua, Carbomer, Propanediol, Dimethicone","neutral",6
"Aqua, Ethoxydiglycol, Dimethicone","neutral",7
"Aqua, PEG-12 Dimethicone, Fragrance","neutral",5
"Aqua, Pentylene Glycol, Dimethicone","neutral",7
"Aqua, PEG-8, Dimethicone","neutral",6
"Aqua, 1,2-Hexanediol, Dimethicone","neutral",6
"Aqua, Sorbitol, PEG-40 Hydrogenated Castor Oil","neutral",5
"Aqua, Fragrance, Carbomer, Dimethicone","neutral",5
"Aqua, Butylene Glycol, Dimethicone, PEG-40","neutral",6
"Aqua, Carbomer, Propylene Glycol","neutral",6
"Aqua, Phenoxyethanol, Dimethicone","neutral",7
"Aqua, Lauric Acid, Myristic Acid, Stearic Acid","malassezia_trigger",0
"Aqua, Polysorbate 20, Oleic Acid","malassezia_trigger",2
"Aqua, Isopropyl Myristate, Glyceryl Stearate","malassezia_trigger",1
"Aqua, Sorbitan Oleate, Oleic Acid","malassezia_trigger",1
"Aqua, Cetyl Alcohol, Stearyl Alcohol, Polysorbate 60","malassezia_trigger",2
"Aqua, Myristyl Myristate, Polysorbate 80","malassezia_trigger",1
"Aqua, Oleyl Oleate, Polysorbate 40","malassezia_trigger",2
"Aqua, Sorbitan Stearate, Oleyl Alcohol","malassezia_trigger",1
"Aqua, Stearic Acid, Polysorbate 65","malassezia_trigger",1
"Aqua, Cetearyl Alcohol, Oleic Acid","malassezia_trigger",2
"Aqua, Isopropyl Palmitate, Myristyl Myristate","malassezia_trigger",1
"Aqua, Polysorbate 80, Oleyl Alcohol","malassezia_trigger",2
"Aqua, Cetyl Esters, Stearyl Alcohol, Polysorbate 60","malassezia_trigger",1
"Aqua, Myristic Acid, Oleic Acid","malassezia_trigger",1
"Aqua, Myristyl Lactate, Oleyl Oleate","malassezia_trigger",1
"Aqua, Polysorbate 20, Glyceryl Oleate","malassezia_trigger",2
"Aqua, Sorbitan Oleate, Stearic Acid","malassezia_trigger",1
"Aqua, Polysorbate 40, Myristyl Myristate","malassezia_trigger",2
"Aqua, Cetyl Alcohol, Myristic Acid","malassezia_trigger",1
"Aqua, Oleic Acid, Polysorbate 60","malassezia_trigger",2
"Aqua, Isopropyl Isostearate, Oleyl Alcohol","malassezia_trigger",1
"Aqua, Stearyl Alcohol, Myristic Acid","malassezia_trigger",2
"Aqua, Polysorbate 65, Cetyl Alcohol","malassezia_trigger",1
"Aqua, Isopropyl Laurate, Glyceryl Stearate","malassezia_trigger",2
"Aqua, Sorbitan Stearate, Oleic Acid","malassezia_trigger",1
"Aqua, Oleyl Alcohol, Stearic Acid","malassezia_trigger",1
"Aqua, Myristyl Myristate, Polysorbate 60","malassezia_trigger",2
"Aqua, Cetyl Alcohol, Oleyl Oleate","malassezia_trigger",1
"Aqua, Myristic Acid, Sorbitan Oleate","malassezia_trigger",1
"Aqua, Oleic Acid, Polysorbate 80","malassezia_trigger",2
"Aqua, Cetearyl Alcohol, Petrolatum","comedogenic",4
"Aqua, Isopropyl Palmitate, Myristyl Lactate","comedogenic",3
"Aqua, Coconut Oil, Stearic Acid","comedogenic",3
"Aqua, Wheat Germ Oil, Cocoa Butter","comedogenic",4
"Aqua, Glyceryl Oleate, Lanolin","comedogenic",4
"Aqua, Almond Oil, Cetyl Alcohol","comedogenic",5
"Aqua, Shea Butter, Cetearyl Alcohol","comedogenic",4
"Aqua, Avocado Oil, Glyceryl Stearate","comedogenic",4
"Aqua, Olive Oil, Myristyl Myristate","comedogenic",3
"Aqua, Castor Oil, Oleyl Alcohol","comedogenic",4
"Aqua, Mango Butter, Avocado Oil","comedogenic",4
"Aqua, Vegetable Oil, Cetyl Palmitate","comedogenic",3
"Aqua, Lanolin Alcohol, Stearic Acid","comedogenic",5
"Aqua, Cocoa Butter, Mineral Oil","comedogenic",4
"Aqua, Kernel Oil, Stearyl Alcohol","comedogenic",3
"Aqua, Rosehip Oil, Cetearyl Alcohol","comedogenic",4
"Aqua, Jojoba Oil, Glyceryl Stearate","comedogenic",3
"Aqua, Palm Oil, Cetyl Esters","comedogenic",4
"Aqua, Castor Oil, Cocoa Seed Butter","comedogenic",4
"Aqua, Safflower Oil, Cetyl Alcohol","comedogenic",5
"Aqua, Macadamia Oil, Stearic Acid","comedogenic",4
"Aqua, Almond Oil, Cetearyl Alcohol","comedogenic",4
"Aqua, Shea Oil, Stearyl Alcohol","comedogenic",3
"Aqua, Wheat Germ Oil, Lanolin","comedogenic",5
"Aqua, Argan Oil, Cetyl Palmitate","comedogenic",4
"Aqua, Coconut Oil, Glyceryl Stearate","comedogenic",3
"Aqua, Jojoba Oil, Myristyl Myristate","comedogenic",4
"Aqua, Olive Oil, Lanolin Alcohol","comedogenic",4
"Aqua, Almond Oil, Stearic Acid","comedogenic",3
"Aqua, Avocado Oil, Cetyl Alcohol","comedogenic",4
"Aqua, Alcohol Denat, Menthol","irritant",3
"Aqua, Linalool, Limonene, Fragrance","irritant",4
"Aqua, Menthol, Camphor, Alcohol","irritant",2
"Aqua, Eucalyptus Oil, Fragrance","irritant",4
"Aqua, Witch Hazel, Alcohol, Fragrance","irritant",3
"Aqua, Phenoxyethanol, Linalool","irritant",3
"Aqua, Citrus Extract, Alcohol","irritant",4
"Aqua, Cinnamon Extract, Alcohol","irritant",3
"Aqua, Tea Tree Oil, Menthol","irritant",4
"Aqua, Peppermint Oil, Alcohol Denat","irritant",3
"Aqua, Lemon Oil, Alcohol","irritant",4
"Aqua, Lavender Oil, Alcohol","irritant",3
"Aqua, Witch Hazel, Menthol","irritant",2
"Aqua, Limonene, Ethanol","irritant",4
"Aqua, Benzyl Alcohol, Menthol","irritant",3
"Aqua, Fragrance, Alcohol","irritant",3
"Aqua, Menthol, Eucalyptus Oil","irritant",4
"Aqua, Linalool, Tea Tree Oil","irritant",4
"Aqua, Cinnamon Oil, Limonene","irritant",4
"Aqua, Star Anise Oil, Menthol","irritant",3
"Aqua, Camphor, Alcohol","irritant",2
"Aqua, Lemon Extract, Fragrance","irritant",4
"Aqua, Mint Oil, Alcohol","irritant",3
"Aqua, Phenoxyethanol, Citrus Oil","irritant",4
"Aqua, Eucalyptus Extract, Limonene","irritant",3
"Aqua, Peppermint Extract, Alcohol","irritant",3
"Aqua, Clove Oil, Menthol","irritant",4
"Aqua, Rosemary Oil, Alcohol","irritant",3
"Aqua, Tea Tree Oil, Camphor","irritant",3
"Aqua, Menthol, Cinnamon Oil","irritant",4
"Aqua, Fragrance, Limonene, Linalool","fragrance_heavy",5
"Aqua, Parfum, Citral, Coumarin","fragrance_heavy",6
"Aqua, Fragrance, Hexyl Cinnamal","fragrance_heavy",5
"Aqua, Parfum, Eugenol, Geraniol","fragrance_heavy",6
"Aqua, Fragrance, Alpha-Isomethyl Ionone","fragrance_heavy",5
"Aqua, Parfum, Linalool, Citronellol","fragrance_heavy",6
"Aqua, Fragrance, Benzyl Alcohol","fragrance_heavy",5
"Aqua, Parfum, Hydroxycitronellal","fragrance_heavy",6
"Aqua, Fragrance, Amyl Cinnamal","fragrance_heavy",5
"Aqua, Parfum, Cinnamal, Limonene","fragrance_heavy",6
"Aqua, Fragrance, Coumarin, Linalool","fragrance_heavy",5
"Aqua, Parfum, Benzyl Salicylate","fragrance_heavy",6
"Aqua, Fragrance, Citronellol","fragrance_heavy",5
"Aqua, Parfum, Limonene, Hexyl Cinnamal","fragrance_heavy",6
"Aqua, Fragrance, Cinnamal","fragrance_heavy",5
"Aqua, Parfum, Geraniol","fragrance_heavy",6
"Aqua, Fragrance, Alpha-Isomethyl Ionone","fragrance_heavy",5
"Aqua, Parfum, Linalool","fragrance_heavy",6
"Aqua, Fragrance, Citral","fragrance_heavy",5
"Aqua, Parfum, Coumarin","fragrance_heavy",6
"Aqua, Fragrance, Eugenol","fragrance_heavy",5
"Aqua, Parfum, Linalool, Cinnamal","fragrance_heavy",6
"Aqua, Fragrance, Benzyl Cinnamate","fragrance_heavy",5
"Aqua, Parfum, Citronellol","fragrance_heavy",6
"Aqua, Fragrance, Linalool, Citral","fragrance_heavy",5
"Aqua, Parfum, Eugenol, Limonene","fragrance_heavy",6
"Aqua, Fragrance, Cinnamal, Hexyl Cinnamal","fragrance_heavy",5
"Aqua, Parfum, Benzyl Salicylate, Linalool","fragrance_heavy",6
"Aqua, Fragrance, Geraniol","fragrance_heavy",5
"Aqua, Parfum, Citral, Limonene","fragrance_heavy",6
"Aqua, Lauric Acid, Palmitic Acid","fatty_acid",1
"Aqua, Stearic Acid, Oleic Acid","fatty_acid",2
"Aqua, Capric Acid, Caprylic Acid","fatty_acid",3
"Aqua, Arachidic Acid, Behenic Acid","fatty_acid",2
"Aqua, Myristic Acid, Palmitoleic Acid","fatty_acid",1
"Aqua, Stearic Acid, Caprylic Acid","fatty_acid",3
"Aqua, Oleic Acid, Myristic Acid","fatty_acid",1
"Aqua, Linoleic Acid, Lauric Acid","fatty_acid",1
"Aqua, Caprylic Acid, Stearic Acid","fatty_acid",3
"Aqua, Palmitic Acid, Oleic Acid","fatty_acid",2
"Aqua, Linolenic Acid, Palmitoleic Acid","fatty_acid",2
"Aqua, Capric Acid, Arachidic Acid","fatty_acid",3
"Aqua, Lauric Acid, Myristic Acid","fatty_acid",1
"Aqua, Stearic Acid, Caprylic Acid","fatty_acid",3
"Aqua, Oleic Acid, Palmitic Acid","fatty_acid",2
"Aqua, Linoleic Acid, Behenic Acid","fatty_acid",2
"Aqua, Lauric Acid, Caprylic Acid","fatty_acid",1
"Aqua, Palmitoleic Acid, Stearic Acid","fatty_acid",3
"Aqua, Myristic Acid, Oleic Acid","fatty_acid",1
"Aqua, Capric Acid, Linoleic Acid","fatty_acid",3
"Aqua, Palmitic Acid, Arachidic Acid","fatty_acid",2
"Aqua, Behenic Acid, Myristic Acid","fatty_acid",1
"Aqua, Caprylic Acid, Linolenic Acid","fatty_acid",3
"Aqua, Oleic Acid, Stearic Acid","fatty_acid",2
"Aqua, Myristic Acid, Palmitic Acid","fatty_acid",1
"Aqua, Linoleic Acid, Caprylic Acid","fatty_acid",3
"Aqua, Stearic Acid, Linolenic Acid","fatty_acid",2
"Aqua, Palmitoleic Acid, Arachidic Acid","fatty_acid",2
"Aqua, Lauric Acid, Linolenic Acid","fatty_acid",1
"Aqua, Capric Acid, Behenic Acid","fatty_acid",3
"Aqua, Petrolatum, Mineral Oil, Paraffin","emollient_heavy",4
"Aqua, Shea Butter, Squalane","emollient_heavy",6
"Aqua, Cocoa Butter, Jojoba Oil","emollient_heavy",3
"Aqua, Sunflower Oil, Squalene","emollient_heavy",5
"Aqua, Olive Oil, Caprylic/Capric Triglyceride","emollient_heavy",4
"Aqua, Avocado Oil, Dimethicone","emollient_heavy",4
"Aqua, Mango Seed Butter, Glycerin","emollient_heavy",3
